segment_id,test_point_id,date,pipe_to_soil_v,on_potential_v,current_ma,criteria_met,standard
SEG-02,TP-02-2,2025-06-04,-0.845,-1.003,1.16,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-04,-0.853,-1.201,3.54,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-04,-0.781,-0.938,3.27,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-04,-0.943,-1.108,2.32,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-04,-0.664,-0.915,2.49,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-04,-0.761,-1.046,1.48,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-04,-0.869,-1.008,3.66,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-04,-0.884,-1.186,1.54,Pass,NACE SP0169
SEG-05,TP-05-1,2025-06-04,-0.946,-1.109,4.1,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-04,-0.933,-1.176,1.24,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-04,-0.862,-1.066,1.29,Pass,NACE SP0169
SEG-06,TP-06-1,2025-06-04,-0.992,-1.184,0.57,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-04,-0.866,-1.144,1.19,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-04,-0.878,-1.074,3.53,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-04,-0.838,-1.026,2.13,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-04,-0.966,-1.298,0.95,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-04,-0.891,-1.156,0.65,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-05,-0.78,-1.071,0.68,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-05,-0.896,-1.185,2.64,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-05,-0.94,-1.154,3.16,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-05,-0.807,-1.157,2.2,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-05,-0.807,-1.14,1.11,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-05,-0.817,-0.996,0.94,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-05,-0.77,-1.048,3.17,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-05,-0.848,-1.129,4.9,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-05,-0.786,-1.155,1.11,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-05,-0.852,-1.218,4.29,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-05,-0.879,-1.214,4.36,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-05,-0.729,-0.837,2.79,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-05,-0.855,-1.112,1.08,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-05,-0.79,-0.981,3.84,Fail,NACE SP0169
SEG-05,TP-05-3,2025-06-05,-0.677,-0.786,2.71,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-05,-0.736,-0.979,0.8,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-05,-0.807,-1.059,0.67,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-05,-0.891,-1.127,4.06,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-05,-0.759,-0.898,3.39,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-05,-0.898,-1.296,3.99,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-05,-0.872,-0.977,1.47,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-06,-0.855,-1.175,0.57,Pass,NACE SP0169
SEG-01,TP-01-2,2025-06-06,-0.821,-1.058,3.36,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-06,-0.757,-0.858,3.78,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-06,-0.886,-1.178,1.33,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-06,-0.879,-1.017,4.37,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-06,-0.819,-1.169,0.59,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-06,-0.933,-1.283,4.17,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-06,-0.886,-1.192,3.06,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-06,-0.744,-1.099,4.72,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-06,-0.893,-1.165,3.64,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-06,-0.85,-0.995,4.64,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-06,-0.826,-1.038,4.29,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-06,-0.952,-1.252,4.8,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-06,-0.858,-1.102,0.86,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-06,-0.754,-1.066,3.74,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-06,-0.857,-1.101,3.01,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-06,-0.741,-1.072,0.64,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-06,-0.85,-1.152,4.8,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-06,-0.801,-1.153,1.22,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-06,-0.806,-1.003,2.11,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-06,-0.902,-1.05,1.69,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-07,-0.848,-1.112,2.59,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-07,-0.859,-1.18,2.67,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-07,-0.897,-1.095,1.13,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-07,-0.747,-1.032,2.77,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-07,-0.95,-1.289,2.6,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-07,-0.886,-1.136,4.07,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-07,-0.907,-1.134,1.92,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-07,-0.807,-1.2,3.67,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-07,-0.667,-0.995,4.08,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-07,-0.735,-0.951,4.87,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-07,-0.898,-1.067,0.86,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-07,-1.047,-1.165,0.75,Pass,NACE SP0169
SEG-05,TP-05-1,2025-06-07,-0.903,-1.222,1.68,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-07,-0.907,-1.109,0.53,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-07,-0.808,-1.099,3.18,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-07,-0.757,-1.05,1.94,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-07,-0.854,-1.231,2.67,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-07,-0.898,-1.11,4.29,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-07,-0.613,-0.852,2.55,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-07,-0.919,-1.175,3.19,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-07,-0.877,-1.116,0.94,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-08,-0.767,-0.877,4.64,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-08,-0.874,-1.078,0.55,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-08,-0.897,-1.128,4.76,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-08,-0.789,-0.927,4.03,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-08,-0.964,-1.344,2.97,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-08,-0.674,-1.071,0.5,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-08,-0.905,-1.043,3.85,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-08,-0.812,-1.143,0.59,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-08,-0.808,-1.12,0.77,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-08,-0.798,-0.956,4.73,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-08,-0.836,-1.234,1.46,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-08,-0.849,-1.028,2.09,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-08,-0.901,-1.111,4.62,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-08,-0.885,-1.179,0.97,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-08,-0.793,-1.068,0.69,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-08,-0.736,-1.076,2.3,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-08,-0.969,-1.308,3.97,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-08,-0.812,-1.124,2.62,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-08,-0.912,-1.208,4.04,Pass,NACE SP0169
SEG-07,TP-07-2,2025-06-08,-0.943,-1.184,1.65,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-08,-0.838,-1.119,1.99,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-09,-0.831,-1.058,4.67,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-09,-0.852,-1.064,4.61,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-09,-0.864,-1.072,3.15,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-09,-0.898,-1.2,4.82,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-09,-0.703,-1.084,1.69,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-09,-0.934,-1.084,4.23,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-09,-0.927,-1.315,0.85,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-09,-0.981,-1.281,0.82,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-09,-0.803,-1.006,4.38,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-09,-0.824,-1.217,4.36,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-09,-0.81,-0.985,3.03,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-09,-0.836,-0.986,3.43,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-09,-0.802,-1.015,2.74,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-09,-0.901,-1.239,1.26,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-09,-0.885,-1.186,3.45,Pass,NACE SP0169
SEG-06,TP-06-1,2025-06-09,-0.986,-1.133,1.87,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-09,-0.877,-1.018,3.43,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-09,-0.814,-1.087,1.61,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-09,-0.824,-1.0,4.7,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-09,-0.863,-1.21,0.88,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-09,-0.853,-1.131,1.37,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-10,-0.851,-1.098,2.12,Pass,NACE SP0169
SEG-01,TP-01-2,2025-06-10,-0.697,-1.059,1.55,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-10,-0.853,-1.232,4.17,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-10,-0.93,-1.289,1.38,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-10,-0.826,-1.209,4.5,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-10,-0.854,-1.02,2.03,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-10,-0.828,-1.068,3.82,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-10,-0.749,-0.86,0.64,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-10,-0.776,-0.935,4.38,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-10,-0.878,-1.029,1.62,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-10,-0.838,-0.975,0.81,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-10,-0.692,-0.873,4.43,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-10,-0.831,-1.042,2.19,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-10,-0.952,-1.181,2.61,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-10,-0.813,-1.067,1.94,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-10,-0.806,-0.999,4.19,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-10,-0.827,-1.107,3.37,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-10,-0.861,-1.126,3.87,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-10,-0.871,-1.042,2.6,Pass,NACE SP0169
SEG-07,TP-07-2,2025-06-10,-0.863,-1.187,1.06,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-10,-0.749,-0.898,4.12,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-11,-0.837,-0.976,3.32,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-11,-0.899,-1.252,3.15,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-11,-0.79,-1.125,1.44,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-11,-0.869,-1.124,4.68,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-11,-0.74,-1.043,2.54,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-11,-0.837,-1.018,3.1,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-11,-0.852,-1.12,3.87,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-11,-0.764,-1.003,2.05,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-11,-0.76,-0.934,2.8,Fail,NACE SP0169
SEG-04,TP-04-1,2025-06-11,-0.862,-1.222,4.45,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-11,-0.693,-0.814,3.21,Fail,NACE SP0169
SEG-04,TP-04-3,2025-06-11,-0.778,-1.143,2.88,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-11,-0.932,-1.23,4.1,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-11,-0.862,-1.047,1.34,Pass,NACE SP0169
SEG-05,TP-05-3,2025-06-11,-0.962,-1.078,3.2,Pass,NACE SP0169
SEG-06,TP-06-1,2025-06-11,-0.717,-1.043,3.86,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-11,-0.976,-1.265,2.67,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-11,-0.7,-0.971,2.58,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-11,-0.812,-0.985,3.51,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-11,-0.783,-0.966,3.25,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-11,-0.958,-1.203,3.08,Pass,NACE SP0169
SEG-01,TP-01-1,2025-06-12,-0.922,-1.165,3.42,Pass,NACE SP0169
SEG-01,TP-01-2,2025-06-12,-1.004,-1.156,4.66,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-12,-0.81,-1.001,0.63,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-12,-0.865,-1.074,3.97,Pass,NACE SP0169
SEG-02,TP-02-2,2025-06-12,-0.846,-1.06,1.07,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-12,-0.95,-1.092,3.93,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-12,-0.873,-1.227,3.23,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-12,-0.901,-1.249,4.07,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-12,-0.862,-0.993,0.97,Pass,NACE SP0169
SEG-04,TP-04-1,2025-06-12,-0.8,-1.052,4.64,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-12,-0.897,-1.23,4.45,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-12,-0.863,-1.147,2.55,Pass,NACE SP0169
SEG-05,TP-05-1,2025-06-12,-1.108,-1.466,3.18,Pass,NACE SP0169
SEG-05,TP-05-2,2025-06-12,-0.847,-1.154,0.61,Fail,NACE SP0169
SEG-05,TP-05-3,2025-06-12,-0.779,-1.164,4.06,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-12,-0.853,-1.222,1.44,Pass,NACE SP0169
SEG-06,TP-06-2,2025-06-12,-0.975,-1.144,2.65,Pass,NACE SP0169
SEG-06,TP-06-3,2025-06-12,-0.796,-1.142,2.58,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-12,-0.835,-1.012,4.33,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-12,-0.799,-0.925,2.22,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-12,-0.831,-1.091,3.6,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-13,-0.787,-1.155,4.14,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-13,-0.767,-0.892,0.81,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-13,-0.895,-1.065,2.77,Pass,NACE SP0169
SEG-02,TP-02-1,2025-06-13,-0.769,-0.892,2.3,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-13,-0.94,-1.299,4.07,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-13,-0.857,-1.056,2.44,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-13,-0.91,-1.061,1.11,Pass,NACE SP0169
SEG-03,TP-03-2,2025-06-13,-0.888,-1.057,2.34,Pass,NACE SP0169
SEG-03,TP-03-3,2025-06-13,-1.014,-1.322,2.08,Pass,NACE SP0169
SEG-04,TP-04-1,2025-06-13,-0.831,-1.117,0.71,Fail,NACE SP0169
SEG-04,TP-04-2,2025-06-13,-0.97,-1.076,3.55,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-13,-0.843,-1.071,0.76,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-13,-0.843,-1.12,3.32,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-13,-0.815,-1.059,1.34,Fail,NACE SP0169
SEG-05,TP-05-3,2025-06-13,-0.762,-0.979,1.13,Fail,NACE SP0169
SEG-06,TP-06-1,2025-06-13,-0.805,-0.972,2.22,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-13,-0.779,-0.986,0.79,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-13,-0.962,-1.292,3.35,Pass,NACE SP0169
SEG-07,TP-07-1,2025-06-13,-0.798,-1.065,4.58,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-13,-0.839,-1.202,1.1,Fail,NACE SP0169
SEG-07,TP-07-3,2025-06-13,-0.771,-0.929,2.14,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-14,-0.91,-1.084,1.83,Pass,NACE SP0169
SEG-01,TP-01-2,2025-06-14,-0.946,-1.323,3.54,Pass,NACE SP0169
SEG-01,TP-01-3,2025-06-14,-0.747,-0.894,5.0,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-14,-0.636,-0.911,0.7,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-14,-0.743,-1.115,3.85,Fail,NACE SP0169
SEG-02,TP-02-3,2025-06-14,-0.916,-1.027,4.13,Pass,NACE SP0169
SEG-03,TP-03-1,2025-06-14,-0.85,-0.964,1.34,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-14,-0.734,-0.947,0.66,Fail,NACE SP0169
SEG-03,TP-03-3,2025-06-14,-0.988,-1.289,3.07,Pass,NACE SP0169
SEG-04,TP-04-1,2025-06-14,-0.947,-1.166,1.41,Pass,NACE SP0169
SEG-04,TP-04-2,2025-06-14,-0.895,-1.256,2.74,Pass,NACE SP0169
SEG-04,TP-04-3,2025-06-14,-0.823,-1.157,1.99,Fail,NACE SP0169
SEG-05,TP-05-1,2025-06-14,-0.811,-1.053,0.99,Fail,NACE SP0169
SEG-05,TP-05-2,2025-06-14,-0.742,-1.063,3.31,Fail,NACE SP0169
SEG-05,TP-05-3,2025-06-14,-0.851,-0.995,3.88,Pass,NACE SP0169
SEG-06,TP-06-1,2025-06-14,-0.817,-0.985,4.54,Fail,NACE SP0169
SEG-06,TP-06-2,2025-06-14,-0.802,-1.119,3.38,Fail,NACE SP0169
SEG-06,TP-06-3,2025-06-14,-0.786,-1.027,1.39,Fail,NACE SP0169
SEG-07,TP-07-1,2025-06-14,-0.841,-1.074,4.37,Fail,NACE SP0169
SEG-07,TP-07-2,2025-06-14,-0.886,-1.257,4.68,Pass,NACE SP0169
SEG-07,TP-07-3,2025-06-14,-0.76,-1.103,3.53,Fail,NACE SP0169
SEG-01,TP-01-1,2025-06-15,-0.829,-1.025,0.5,Fail,NACE SP0169
SEG-01,TP-01-2,2025-06-15,-0.705,-1.012,2.44,Fail,NACE SP0169
SEG-01,TP-01-3,2025-06-15,-0.753,-1.088,4.51,Fail,NACE SP0169
SEG-02,TP-02-1,2025-06-15,-0.845,-1.059,4.51,Fail,NACE SP0169
SEG-02,TP-02-2,2025-06-15,-0.89,-1.206,2.05,Pass,NACE SP0169
SEG-02,TP-02-3,2025-06-15,-0.808,-1.121,3.28,Fail,NACE SP0169
SEG-03,TP-03-1,2025-06-15,-0.826,-0.938,2.08,Fail,NACE SP0169
SEG-03,TP-03-2,2025-06-15,-0.82,-0.931,3.59,Fail,NACE SP0169
